,time,area_id,lng,lat
0,2021/1/1 0:00,169,-73.89808786,40.85022021
1,2021/1/1 0:00,43,-73.98028668,40.76738661
2,2021/1/1 0:00,42,-73.93813389,40.82701466
3,2021/1/1 0:00,238,-73.97709386,40.79273092
4,2021/1/1 0:00,204,-74.20289343,40.53172047
5,2021/1/1 0:00,258,-73.85181897,40.68723109
6,2021/1/1 0:00,258,-73.85426201,40.69294883
7,2021/1/1 0:00,84,-74.19799501,40.51270191
8,2021/1/1 0:00,246,-74.00404376,40.75093623
9,2021/1/1 0:00,74,-73.93229781,40.79558155
10,2021/1/1 0:00,5,-74.17991268,40.54884253
11,2021/1/1 0:00,69,-73.91898142,40.82847396
12,2021/1/1 0:00,62,-73.94773929,40.6645275
